,Date,DXY_close,IDCOTCTR_close,SKEW_close,WGREIT_close,VVIX_close,US10Y_close,US3M_close,USIG_close,USHY_close,VIX_close,CL_close,BCOMGC_close,SP_close,FESX_close,US_close,SI_close,N225_close,NQ_close,MOVE_close,TY_close,FGBL_close,JPY_close,CHF_close
112,2000-06-07,106.18,,,,,6.1484,5.895,,,22.48,,51.08,1472.0,,97.34,5.096,17144.96,,,98.0,,105.9,1.6301
113,2000-06-08,106.71,,,,,6.1289,5.894,,,22.77,,50.51,1466.5,,97.5,5.073,17004.34,,,98.08,,106.85,1.638
114,2000-06-09,106.99,,,,,6.1262,5.902,,,22.14,,50.44,1484.5,,97.41,5.04,16861.91,,,98.0,,106.9,1.642
115,2000-06-12,106.97,,,,,6.0781,5.838,,,22.32,,50.92,1469.0,,97.59,5.02,16980.61,,,98.27,,106.8,1.6379
116,2000-06-13,106.4,,,,,6.1094,5.742,,,21.67,,50.74,1494.5,,96.81,5.005,16914.95,,,98.06,,106.57,1.6289
117,2000-06-14,106.46,,,,,6.0469,5.801,,,21.48,,51.82,1498.0,,97.12,5.07,16654.42,,,98.55,,106.41,1.632
118,2000-06-15,106.88,,,,,6.0469,5.821,,,20.68,,51.45,1497.5,,97.22,5.057,16338.7,,,98.52,,106.35,1.6365
119,2000-06-16,105.96,,,,,5.9796,5.808,,,20.5,,51.29,1488.0,,97.81,5.068,16318.31,,,98.91,,106.41,1.6173
120,2000-06-19,106.33,,,,,6.0,5.776,,,20.63,,50.73,1504.5,,97.53,5.028,16591.35,,,98.73,,105.4,1.6307
121,2000-06-20,106.33,,,,,6.0195,5.784,,,20.88,,50.74,1499.0,,97.38,5.025,16907.55,,,98.61,,105.57,1.6287
122,2000-06-21,107.43,,,,,6.1094,5.78,,,20.61,,50.74,1498.5,,96.88,4.96,17210.08,,,98.27,,104.53,1.6403
123,2000-06-22,107.71,,,,,6.1055,5.779,,,22.0,,50.58,1476.25,,96.53,4.968,17106.01,,,97.75,,104.61,1.6547
124,2000-06-23,108.01,,,,,6.1852,5.839,,,22.34,,50.16,1463.5,,95.94,4.948,16963.21,,,97.39,,104.78,1.6576
125,2000-06-26,108.11,,,,,6.1016,5.799,,,22.45,,50.28,1479.0,,96.47,4.975,16925.4,,,97.98,,105.37,1.6517
126,2000-06-27,107.36,,,,,6.0898,5.828,,,21.8,,50.64,1471.0,,96.78,4.958,17279.06,,,97.98,,105.38,1.6351
127,2000-06-28,107.6,,,,,6.1055,5.798,,,20.29,,51.84,1471.25,,96.47,4.989,17370.17,,,97.88,,105.21,1.6464
128,2000-06-29,106.84,,,,,6.0352,5.831,,,19.7,,51.2,1458.0,,97.5,4.997,17475.9,,,98.38,,106.01,1.6357
129,2000-06-30,106.84,,,,,6.027,5.86,,,19.54,,51.34,1468.0,,97.34,5.033,17411.05,,,98.48,,106.0,1.6344
130,2000-07-03,107.06,,,,,5.9908,5.858,,,19.83,,,1490.5,,97.69,,17614.66,,,98.84,,106.1,1.6369
131,2000-07-04,107.29,,,,,,,,,,,,,,,,17470.15,,,,,106.93,1.6328
132,2000-07-05,107.12,,,,,5.9844,5.984,,,21.16,,50.25,1463.25,,97.72,4.993,17435.95,,,98.94,,107.33,1.6235
133,2000-07-06,107.37,,,,,6.0469,5.998,,,20.94,,50.13,1473.75,,97.19,5.004,17282.37,,,98.55,,107.88,1.6255
134,2000-07-07,107.65,,,,,6.0148,6.016,,,19.22,,50.13,1494.75,,97.62,4.986,17398.24,,,98.86,,107.88,1.6275
135,2000-07-10,107.01,,,,,6.043,6.041,,,20.33,,50.18,1491.5,,97.56,5.006,17572.68,,,98.7,,107.07,1.6232
136,2000-07-11,107.14,,,,,6.0547,5.917,,,20.11,,49.9,1494.75,,97.56,4.963,17504.36,,,98.58,,108.13,1.6279
